Player,Nation,Squad,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Position_2,Position,League
Pavel Kadeřábek,CZE,Hoffenheim,31,1992,26.8,1273,1027,239,11,1,2,101,228,0,0,0,0,888,7,29,Forward,Defender,Bundesliga
Tino Kadewere,ZIM,Lyon,27,1996,3.3,111,104,6,0,0,0,2,2,0,0,0,0,89,1,1,Midfielder,Forward,Ligue 1
Tino Kadewere,ZIM,Nantes,27,1996,8.7,213,203,8,0,1,1,6,4,1,0,0,0,154,2,7,Midfielder,Forward,Ligue 1
Kaiky,BRA,Almería,19,2004,5.8,263,252,11,10,0,3,1,1,0,0,0,0,217,0,4,,Defender,La Liga
Florian Kainz,AUT,Köln,30,1992,24.4,1119,940,175,51,3,5,167,25,80,30,35,0,770,4,31,Forward,Midfielder,Bundesliga
Sasa Kalajdzic,AUT,Wolves,26,1997,1.8,60,59,1,0,0,0,1,0,0,0,0,0,38,0,0,,Forward,Premier League
Sasa Kalajdzic,AUT,Eint Frankfurt,26,1997,3.6,79,72,6,0,2,1,1,0,0,0,0,0,61,1,1,,Forward,Bundesliga
Arnaud Kalimuendo,FRA,Rennes,21,2002,23.8,502,451,47,2,2,2,11,1,0,0,0,0,405,4,18,,Forward,Ligue 1
Yayah Kallon,SLE,Hellas Verona,22,2001,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,,Forward,Serie A
Gedeon Kalulu,COD,Lorient,25,1997,10.8,528,456,70,7,0,5,21,63,0,0,0,0,433,2,17,,Defender,Ligue 1
Pierre Kalulu,FRA,Milan,23,2000,4.2,259,242,17,6,1,0,5,11,0,0,0,0,230,0,8,,Defender,Serie A
Daichi Kamada,JPN,Lazio,26,1996,17.2,921,907,12,6,4,5,11,4,0,0,0,0,810,2,21,,Midfielder,Serie A
Waren Kamanzi,NOR,Toulouse,22,2000,13.2,604,537,63,6,0,1,20,57,0,0,0,0,502,4,10,Forward,Defender,Ligue 1
Boubacar Kamara,FRA,Aston Villa,23,1999,18.4,1035,994,40,32,6,8,2,8,0,0,0,0,922,1,13,,Midfielder,Premier League
Hassane Kamara,CIV,Udinese,29,1994,24.7,818,694,120,6,0,4,71,113,1,0,0,0,600,4,29,,Defender,Serie A
Willy Kambwala,FRA,Manchester Utd,18,2004,3.7,192,187,5,3,0,0,0,1,0,0,0,0,163,0,2,,Defender,Premier League
Jakub Kamiński,POL,Wolfsburg,21,2002,5.3,195,176,19,0,0,2,16,17,2,2,0,0,152,0,6,Midfielder,Forward,Bundesliga
Thomas Kaminski,BEL,Luton Town,30,1992,37.8,1468,969,493,152,0,2,0,0,0,0,0,0,869,6,0,,Goalkeeper,Premier League
Kevin Kampl,SVN,RB Leipzig,32,1990,15.1,1019,983,36,28,3,0,11,8,0,0,0,0,931,0,8,,Midfielder,Bundesliga
Harry Kane,ENG,Bayern Munich,30,1993,31.5,664,620,41,10,13,14,31,8,2,1,0,0,474,3,31,,Forward,Bundesliga
Lee Kang-in,KOR,Paris S-G,22,2001,16.3,1011,903,104,24,3,5,97,7,68,27,21,0,835,4,18,Midfielder,Forward,Ligue 1
Yann Karamoh,FRA,Torino,25,1998,1.8,66,61,5,0,0,0,5,5,0,0,0,0,45,0,1,Forward,Midfielder,Serie A
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Yann Karamoh,FRA,Montpellier,25,1998,3.2,88,85,3,0,0,0,5,0,0,0,0,0,63,0,3,Midfielder,Forward,Ligue 1
Atakan Karazor,GER,Stuttgart,26,1996,29.1,1900,1820,75,73,5,2,4,2,0,0,0,0,1698,5,34,,Midfielder,Bundesliga
Ayman Kari,FRA,Lorient,18,2004,9.9,386,384,1,1,4,2,1,0,0,0,0,0,338,1,11,,Midfielder,Ligue 1
Emir Karic,AUT,Darmstadt 98,26,1997,19.8,1210,1028,178,13,0,12,52,165,0,0,0,0,953,4,28,,Defender,Bundesliga
Loris Karius,GER,Newcastle Utd,30,1993,1.0,37,24,12,3,0,0,0,0,0,0,0,0,21,1,0,,Goalkeeper,Premier League
Jesper Karlsson,SWE,Bologna,25,1998,3.8,152,131,20,4,0,0,24,2,14,7,5,0,103,1,5,,Forward,Serie A
Jon Karrikaburu,ESP,Alavés,20,2002,0.2,5,3,1,0,0,0,0,0,0,0,0,0,2,1,0,Forward,Midfielder,La Liga
Rick Karsdorp,NED,Roma,28,1995,13.2,684,559,119,4,0,2,28,115,0,0,0,0,544,6,15,,Defender,Serie A
Grigoris Kastanos,CYP,Salernitana,25,1998,16.4,650,549,98,21,4,10,38,49,27,5,6,0,458,3,23,Defender,Midfielder,Serie A
Silas Katompa,COD,Stuttgart,24,1998,10.0,279,276,3,1,5,1,28,2,0,0,0,0,210,0,18,Midfielder,Forward,Bundesliga
Panos Katseris,GRE,Lorient,22,2001,11.6,393,307,86,2,0,0,45,83,1,0,0,0,275,0,20,,Defender,Ligue 1
Mikkel Kaufmann,DEN,Union Berlin,22,2001,5.4,126,123,3,0,0,1,5,1,0,0,0,0,67,0,5,,Forward,Bundesliga
Michael Kayode,ITA,Fiorentina,19,2004,22.9,1297,1083,211,17,0,4,66,194,0,0,0,0,1056,3,40,,Defender,Serie A
Moise Kean,ITA,Juventus,23,2000,7.3,96,88,7,0,0,1,1,1,0,0,0,0,66,1,5,,Forward,Serie A
Michael Keane,ENG,Everton,30,1993,4.9,221,217,3,3,0,1,0,0,0,0,0,0,171,1,0,,Defender,Premier League
Ibrahima Kebe,MLI,Girona,22,2000,0.1,8,7,1,1,0,0,0,0,0,0,0,0,5,0,0,,Midfielder,La Liga
Kévin Keben Biakolo,CMR,Toulouse,19,2004,5.8,260,222,38,3,0,0,3,35,0,0,0,0,209,0,7,,Defender,Ligue 1
Yassine Kechta,MAR,Le Havre,21,2002,20.5,960,931,27,15,4,5,19,7,4,2,0,0,778,2,20,,Midfielder,Ligue 1
Thilo Kehrer,GER,West Ham,26,1996,0.2,9,7,2,0,0,0,0,2,0,0,0,0,9,0,0,Midfielder,Defender,Premier League
Thilo Kehrer,GER,Monaco,26,1996,14.7,966,900,66,32,1,2,4,19,0,0,0,0,859,0,11,,Defender,Ligue 1
Habib Keita,MLI,Clermont Foot,21,2002,14.2,675,663,11,10,1,8,4,1,0,0,0,0,591,1,6,,Midfielder,Ligue 1
Naby Keïta,GUI,Werder Bremen,28,1995,1.2,67,67,0,0,1,0,0,0,0,0,0,0,52,0,1,Defender,Midfielder,Bundesliga
Yannik Keitel,GER,Freiburg,23,2000,10.2,560,549,11,11,0,3,2,0,0,0,0,0,443,0,4,Midfielder,Defender,Bundesliga
Caoimhín Kelleher,IRL,Liverpool,24,1998,10.0,442,401,38,10,0,0,0,0,0,0,0,0,359,3,0,,Goalkeeper,Premier League
Thomas Keller,GER,Heidenheim,23,1999,0.0,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,Forward,Midfielder,Bundesliga
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Lloyd Kelly,ENG,Bournemouth,24,1998,17.3,906,771,129,22,1,10,21,107,0,0,0,0,673,6,19,,Defender,Premier League
Omari Kellyman,ENG,Aston Villa,17,2005,0.4,7,6,1,0,0,0,0,0,0,0,0,0,6,0,0,,Forward,Premier League
Aljoscha Kemlein,GER,Union Berlin,18,2004,0.3,9,8,0,0,0,0,0,0,0,0,0,0,7,1,0,,Midfielder,Bundesliga
Tobias Kempe,GER,Darmstadt 98,34,1989,15.0,557,454,100,40,1,2,81,2,55,20,31,0,413,3,13,,Midfielder,Bundesliga
Milos Kerkez,HUN,Bournemouth,19,2003,21.9,844,677,165,5,1,3,55,160,0,0,0,0,613,2,20,,Defender,Premier League
Kaine Kesler-Hayden,ENG,Aston Villa,20,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,Midfielder,Premier League
Reda Khadra,GER,Reims,22,2001,15.2,389,347,40,7,4,2,46,19,9,4,2,0,289,2,15,Midfielder,Forward,Ligue 1
Wahbi Khazri,TUN,Montpellier,32,1991,12.6,318,298,18,3,3,14,11,7,4,2,1,0,227,2,11,,Forward,Ligue 1
Rani Khedira,GER,Union Berlin,29,1994,14.9,450,436,12,6,0,3,6,0,0,0,0,0,329,2,12,,Midfielder,Bundesliga
Kiké,ESP,Alavés,33,1989,15.8,301,288,10,0,2,1,10,0,0,0,0,0,200,3,9,Midfielder,Forward,La Liga
Luca Kilian,GER,Köln,23,1999,7.1,317,302,15,8,0,1,1,5,0,0,0,0,241,0,4,,Defender,Bundesliga
Max Kilman,ENG,Wolves,26,1997,38.0,2309,2245,55,38,2,20,6,8,0,0,0,0,1979,9,13,,Defender,Premier League
Joshua Kimmich,GER,Bayern Munich,28,1995,24.2,2267,1983,273,75,11,15,195,77,121,41,57,2,1951,11,20,Defender,Midfielder,Bundesliga
Jakub Kiwior,POL,Arsenal,23,2000,10.5,625,550,73,6,1,1,12,67,0,0,0,0,523,2,2,,Defender,Premier League
Simon Kjær,DEN,Milan,34,1989,13.0,833,807,26,20,0,4,1,2,0,0,0,0,735,0,2,,Defender,Serie A
Davy Klaassen,NED,Inter,30,1993,2.3,95,94,1,1,0,1,0,0,0,0,0,0,82,0,2,,Midfielder,Serie A
Christoph Klarer,AUT,Darmstadt 98,23,2000,26.2,1200,1153,46,38,0,13,8,8,0,0,0,0,1044,1,11,,Defender,Bundesliga
Tim Kleindienst,GER,Heidenheim,27,1995,31.9,874,828,43,0,2,7,19,11,0,0,0,0,516,3,50,,Forward,Bundesliga
Lukas Klostermann,GER,RB Leipzig,27,1996,16.0,1155,1126,28,14,3,4,8,14,0,0,0,0,1035,1,8,,Defender,Bundesliga
Justin Kluivert,NED,Bournemouth,24,1999,21.3,421,399,18,1,0,3,29,7,2,0,0,1,288,4,19,Forward,Midfielder,Premier League
Ansgar Knauff,GER,Eint Frankfurt,21,2002,23.4,747,684,57,2,3,1,46,55,0,0,0,0,475,6,44,Defender,Midfielder,Bundesliga
Robin Knoche,GER,Union Berlin,31,1992,21.3,1153,1109,42,29,0,4,3,8,0,0,0,0,931,2,8,,Defender,Bundesliga
Gregor Kobel,SUI,Dortmund,25,1997,26.3,1175,951,220,55,0,0,0,0,0,0,0,0,974,4,0,,Goalkeeper,Bundesliga
Robin Koch,GER,Eint Frankfurt,27,1996,30.4,2161,2097,63,48,2,2,4,2,0,0,0,0,1902,1,12,,Defender,Bundesliga
Philipp Köhn,SUI,Monaco,25,1998,22.0,667,484,182,52,0,0,0,0,0,0,0,0,479,1,0,,Goalkeeper,Ligue 1
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Dominik Kohr,GER,Mainz 05,29,1994,24.3,1159,1108,47,40,0,7,22,6,0,0,0,0,876,4,27,Midfielder,Defender,Bundesliga
Koke,ESP,Atlético Madrid,31,1992,27.7,2263,2183,67,64,14,31,11,2,1,0,1,0,2037,13,19,,Midfielder,La Liga
Sead Kolašinac,BIH,Atalanta,30,1993,24.2,1278,1192,81,28,1,4,9,53,0,0,0,0,1077,5,26,,Defender,Serie A
Luca Koleosho,ITA,Burnley,18,2004,10.8,274,267,6,2,0,0,23,4,0,0,0,0,192,1,16,Forward,Midfielder,Premier League
Randal Kolo Muani,FRA,Paris S-G,24,1998,14.1,359,354,4,0,1,0,9,0,0,0,0,0,259,1,17,Midfielder,Forward,Ligue 1
Randal Kolo Muani,FRA,Eint Frankfurt,24,1998,1.7,26,25,1,0,0,0,0,0,0,0,0,0,17,0,1,,Forward,Bundesliga
Mert Kömür,GER,Augsburg,18,2005,1.3,34,33,1,0,1,0,1,1,0,0,0,0,30,0,1,Defender,Midfielder,Bundesliga
Cheick Konaté,MLI,Clermont Foot,19,2004,11.9,484,419,65,5,0,6,43,60,0,0,0,0,319,0,21,,Defender,Ligue 1
Ibrahima Konaté,FRA,Liverpool,24,1999,17.5,1463,1426,35,24,5,6,1,11,0,0,0,0,1286,2,8,,Defender,Premier League
Geoffrey Kondogbia,CTA,Marseille,30,1993,16.3,952,935,11,9,2,10,2,1,1,0,0,0,832,6,7,,Midfielder,Ligue 1
Abdoul Koné,FRA,Reims,18,2005,2.1,85,65,20,3,0,1,1,17,0,0,0,0,53,0,3,,Defender,Ligue 1
Amadou Koné,MLI,Reims,18,2005,5.3,256,251,3,3,0,2,1,0,0,0,0,0,204,2,5,,Midfielder,Ligue 1
Ibrahima Koné,MLI,Almería,24,1999,3.1,56,49,7,0,0,0,2,2,0,0,0,0,38,0,0,,Forward,La Liga
Ibrahima Koné,MLI,Lorient,24,1999,0.4,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,,Forward,Ligue 1
Manu Koné,FRA,Gladbach,22,2001,17.3,688,676,10,9,0,2,3,0,0,0,0,0,583,2,15,,Midfielder,Bundesliga
Ezri Konsa,ENG,Aston Villa,25,1997,34.1,2094,1896,197,71,1,0,17,123,0,0,0,0,1907,1,24,,Defender,Premier League
Teun Koopmeiners,NED,Atalanta,25,1998,29.2,1419,1280,129,34,3,9,121,13,59,31,20,0,1092,10,32,,Midfielder,Serie A
Odilon Kossonou,CIV,Leverkusen,22,2001,20.1,1428,1339,88,31,4,7,2,57,0,0,0,0,1274,1,17,,Defender,Bundesliga
Filip Kostić,SRB,Juventus,30,1992,20.2,997,808,187,18,0,5,168,109,60,19,37,0,726,2,38,,Defender,Serie A
Christian Kouamé,CIV,Fiorentina,25,1997,12.1,448,431,11,2,3,1,20,7,2,0,0,0,325,6,13,,Forward,Serie A
Rominigue Kouamé,MLI,Cádiz,26,1996,9.1,411,408,3,3,0,3,1,0,0,0,0,0,355,0,4,,Midfielder,La Liga
Koffi Kouao,CIV,Metz,25,1998,9.6,401,317,81,6,0,1,16,75,0,0,0,0,317,3,7,,Defender,Ligue 1
Tomáš Koubek,CZE,Augsburg,30,1992,3.0,98,70,28,4,0,0,0,0,0,0,0,0,69,0,1,,Goalkeeper,Bundesliga
Therence Koudou,FRA,Reims,18,2004,3.5,173,137,36,2,0,0,14,34,0,0,0,0,142,0,3,,Defender,Ligue 1
Jules Koundé,FRA,Barcelona,24,1998,32.2,2757,2482,267,61,2,29,34,198,0,0,0,0,2478,8,29,,Defender,La Liga
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Boubakar Kouyaté,MLI,Montpellier,26,1997,21.4,873,836,34,25,1,5,1,2,0,0,0,0,719,3,8,,Defender,Ligue 1
Cheikhou Kouyaté,SEN,Nott'ham Forest,33,1989,2.4,74,73,0,0,0,0,0,0,0,0,0,0,47,1,1,,Midfielder,Premier League
Mateo Kovačić,CRO,Manchester City,29,1994,17.2,1527,1491,34,24,4,1,0,2,1,0,0,0,1435,2,10,,Midfielder,Premier League
Viktor Kovalenko,UKR,Empoli,27,1996,6.8,250,233,17,4,2,1,13,3,6,3,2,0,179,0,5,,Midfielder,Serie A
Matej Kovar,CZE,Leverkusen,23,2000,1.0,17,16,1,1,0,0,0,0,0,0,0,0,17,0,0,,Goalkeeper,Bundesliga
Dawid Kownacki,POL,Werder Bremen,26,1997,4.2,109,104,4,0,0,1,3,2,0,0,0,0,69,1,3,,Forward,Bundesliga
Emil Krafth,SWE,Newcastle Utd,28,1994,10.1,580,514,65,11,0,0,17,53,1,0,0,0,488,1,14,,Defender,Premier League
Alex Král,CZE,Union Berlin,25,1998,15.2,487,449,35,5,3,3,17,16,0,0,0,0,340,3,15,,Midfielder,Bundesliga
Andrej Kramarić,CRO,Hoffenheim,32,1991,24.4,1139,971,164,44,9,4,113,21,73,27,27,1,904,4,30,Forward,Midfielder,Bundesliga
Christoph Kramer,GER,Gladbach,32,1991,2.8,183,176,6,4,0,0,3,0,1,0,0,0,145,1,4,,Midfielder,Bundesliga
Frans Krätzig,GER,Bayern Munich,20,2003,0.6,50,45,5,0,1,1,0,5,0,0,0,0,45,0,0,,Defender,Bundesliga
Tom Krauß,GER,Mainz 05,22,2001,15.0,651,629,19,14,2,2,7,2,0,0,0,0,486,3,20,,Midfielder,Bundesliga
Rasmus Kristensen,DEN,Roma,26,1997,19.4,1037,879,152,8,1,1,44,144,0,0,0,0,799,6,25,,Defender,Serie A
Thomas Kristensen,DEN,Udinese,21,2002,23.3,863,725,134,32,0,11,1,97,0,0,0,0,662,4,8,,Defender,Serie A
Toni Kroos,GER,Real Madrid,33,1990,23.6,2505,2260,239,137,6,53,118,13,89,32,34,0,2291,6,13,,Midfielder,La Liga
Nikola Krstović,MNE,Lecce,23,2000,26.4,526,476,48,1,5,2,4,7,0,0,0,0,354,2,20,,Forward,Serie A
Rade Krunić,BIH,Milan,29,1993,7.6,431,401,30,27,1,1,4,3,0,0,0,0,388,0,2,,Midfielder,Serie A
Lukas Kübler,GER,Freiburg,30,1992,20.5,1030,841,187,14,2,3,21,172,0,0,0,0,805,2,10,,Defender,Bundesliga
Takefusa Kubo,JPN,Real Sociedad,22,2001,23.9,862,759,98,13,6,3,145,2,82,46,18,0,611,5,32,Midfielder,Forward,La Liga
Mahmut Kücüksahin,,Augsburg,19,2004,0.0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,,Midfielder,Bundesliga
Mohammed Kudus,GHA,West Ham,22,2000,27.6,875,855,16,8,3,6,94,4,2,1,0,0,677,4,43,Midfielder,Forward,Premier League
Christian Kühlwetter,GER,Heidenheim,27,1996,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,,Midfielder,Bundesliga
Dejan Kulusevski,SWE,Tottenham,23,2000,30.7,1234,1185,42,8,12,6,89,6,24,6,0,0,953,7,55,Midfielder,Forward,Premier League
Sael Kumbedi,FRA,Lyon,18,2005,10.3,592,506,85,9,1,0,28,76,0,0,0,0,470,1,11,,Defender,Ligue 1
Marash Kumbulla,ALB,Sassuolo,23,2000,4.0,106,98,8,3,0,0,0,0,0,0,0,0,83,0,0,,Defender,Serie A
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Justin Kumi,ITA,Sassuolo,19,2004,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,,Forward,Serie A
Layvin Kurzawa,FRA,Paris S-G,30,1992,0.1,13,11,2,1,0,0,0,1,0,0,0,0,13,0,0,,Defender,Ligue 1
Berkan Kutlu,TUR,Genoa,25,1998,2.2,64,59,5,2,0,2,12,0,2,1,1,0,46,0,3,,Midfielder,Serie A
Daler Kuzyaev,RUS,Le Havre,30,1993,23.2,1050,1010,36,19,4,0,27,1,15,2,7,0,824,4,27,,Midfielder,Ligue 1
Khvicha Kvaratskhelia,GEO,Napoli,22,2001,30.4,1200,1110,86,17,6,30,99,22,45,27,12,0,965,4,22,,Forward,Serie A
Giorgi Kvernadze,GEO,Frosinone,20,2003,0.7,36,32,4,0,0,0,1,4,0,0,0,0,31,0,2,Defender,Forward,Serie A
Moritz-Broni Kwarteng,GHA,Bochum,25,1998,3.1,94,91,3,0,0,0,5,1,2,0,1,0,67,0,1,,Forward,Bundesliga
Grejohn Kyei,FRA,Clermont Foot,27,1995,11.4,265,235,27,0,0,2,2,0,0,0,0,0,198,3,8,,Forward,Ligue 1
Giorgos Kyriakopoulos,GRE,Monza,27,1996,19.0,1080,908,170,17,0,0,84,136,17,1,16,0,891,2,30,,Defender,Serie A
Luca de la Torre,USA,Celta Vigo,25,1998,21.7,764,756,4,2,1,0,17,0,0,0,0,0,620,4,36,,Midfielder,La Liga
Gaëtan Laborde,FRA,Nice,29,1994,21.2,558,540,16,3,0,2,62,4,6,5,1,0,366,2,21,Midfielder,Forward,Ligue 1
Alexandre Lacazette,FRA,Lyon,32,1991,25.5,561,514,42,1,8,6,10,2,0,0,0,0,397,5,18,,Forward,Ligue 1
Maxence Lacroix,FRA,Wolfsburg,23,2000,26.2,1449,1353,91,65,0,12,5,2,0,0,0,0,1228,5,9,,Defender,Bundesliga
Alban Lafont,FRA,Nantes,24,1999,27.7,1006,770,235,69,0,3,0,0,0,0,0,0,720,1,0,,Goalkeeper,Ligue 1
Yoel Lago,ESP,Celta Vigo,19,2004,1.0,86,83,3,2,0,0,0,0,0,0,0,0,82,0,0,,Defender,La Liga
Aïssa Laïdouni,TUN,Union Berlin,26,1996,11.9,512,491,19,5,2,1,22,3,1,0,0,0,404,2,11,,Midfielder,Bundesliga
Konrad Laimer,AUT,Bayern Munich,26,1997,19.7,1457,1339,113,24,4,5,31,83,4,0,0,0,1294,5,29,Midfielder,Defender,Bundesliga
Stefan Lainer,AUT,Gladbach,30,1992,8.3,483,415,67,4,1,0,19,62,1,0,0,0,375,1,11,Midfielder,Defender,Bundesliga
Kenny Lala,MAD,Brest,31,1991,33.0,2195,1784,404,85,0,20,143,310,9,3,6,0,1713,7,62,,Defender,Ligue 1
Adam Lallana,ENG,Brighton,35,1988,9.4,509,491,15,5,3,0,7,0,4,0,0,0,451,3,9,Forward,Midfielder,Premier League
Mathis Lambourde,FRA,Rennes,17,2006,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,,Forward,Ligue 1
Érik Lamela,ARG,Sevilla,31,1992,5.1,174,165,9,2,1,0,12,5,1,1,0,0,142,0,3,Midfielder,Forward,La Liga
Mohamed Lamine Bayo,GUI,Le Havre,25,1998,15.4,310,283,26,0,3,2,8,0,0,0,0,0,201,1,14,,Forward,Ligue 1
Didier Lamkel Zé,CMR,Metz,26,1996,6.1,190,179,10,5,0,6,13,1,2,1,0,0,137,1,5,Midfielder,Forward,Ligue 1
Tariq Lamptey,GHA,Brighton,22,2000,10.2,454,400,51,2,0,0,31,49,0,0,0,0,379,3,9,Forward,Defender,Premier League
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Bruno Langa,MOZ,Almería,25,1997,9.1,400,320,80,13,0,3,16,67,0,0,0,0,307,0,13,,Defender,La Liga
Gianluca Lapadula,PER,Cagliari,33,1990,13.4,171,148,22,1,0,0,7,0,0,0,0,0,120,1,5,,Forward,Serie A
Aymeric Laporte,ESP,Manchester City,29,1994,0.1,11,11,0,0,0,0,0,0,0,0,0,0,11,0,0,,Defender,Premier League
Julien Laporte,FRA,Lorient,29,1993,20.2,1023,975,45,20,0,5,1,1,0,0,0,0,883,3,5,,Defender,Ligue 1
Cyle Larin,CAN,Mallorca,28,1995,20.3,294,278,13,0,1,1,7,1,0,0,0,0,184,3,14,,Forward,La Liga
Yasser Larouci,ALG,Sheffield Utd,22,2001,5.9,185,171,13,0,0,0,6,13,0,0,0,0,131,1,14,,Defender,Premier League
Hugo Larsson,SWE,Eint Frankfurt,19,2004,21.0,965,944,19,14,1,2,8,5,0,0,0,0,835,2,13,,Midfielder,Bundesliga
Jamaal Lascelles,ENG,Newcastle Utd,29,1993,12.0,774,764,8,6,0,3,1,2,0,0,0,0,669,2,5,,Defender,Premier League
Juanmi Latasa,ESP,Getafe,22,2001,17.3,368,354,11,0,2,0,2,0,0,0,0,0,192,3,5,,Forward,La Liga
Toni Lato,ESP,Mallorca,25,1997,17.2,788,619,167,2,1,3,49,164,1,0,0,0,595,2,23,,Defender,La Liga
Armand Lauriente,FRA,Sassuolo,24,1998,32.3,908,805,103,15,4,11,135,14,72,47,6,1,628,0,32,,Forward,Serie A
Roméo Lavia,BEL,Chelsea,19,2004,0.4,27,27,0,0,0,0,0,0,0,0,0,0,22,0,2,,Midfielder,Premier League
Lázaro,BRA,Almería,21,2002,3.2,100,87,12,4,1,2,12,3,5,3,2,0,69,1,4,Midfielder,Forward,La Liga
Valentino Lazaro,AUT,Torino,27,1996,22.2,1106,884,216,17,1,3,127,147,52,37,11,0,839,6,23,Midfielder,Defender,Serie A
Darko Lazović,SRB,Hellas Verona,32,1990,21.4,671,581,88,18,1,3,97,41,28,13,14,0,431,2,33,Midfielder,Forward,Serie A
Manuel Lazzari,ITA,Lazio,29,1993,18.6,975,819,156,11,0,2,56,145,0,0,0,0,826,0,28,,Defender,Serie A
Théo Le Bris,FRA,Lorient,20,2002,16.8,680,602,75,2,0,1,33,68,3,2,0,0,531,3,16,Midfielder,Defender,Ligue 1
Julien Le Cardinal,FRA,Brest,25,1997,5.3,258,246,11,5,0,3,5,6,0,0,0,0,212,1,3,,Defender,Ligue 1
Julien Le Cardinal,FRA,Lens,25,1997,0.6,32,27,5,1,0,0,4,4,0,0,0,0,23,0,1,,Defender,Ligue 1
Jérémy Le Douaron,FRA,Brest,25,1998,18.0,387,385,2,1,1,3,44,1,0,0,0,0,252,0,21,,Forward,Ligue 1
Enzo Le Fée,FRA,Rennes,23,2000,17.0,1043,998,44,27,5,14,24,6,10,3,5,0,897,1,11,,Midfielder,Ligue 1
Vincent Le Goff,FRA,Lorient,33,1989,6.0,322,280,40,3,1,0,18,34,3,1,2,0,252,2,7,Midfielder,Defender,Ligue 1
Robin Le Normand,ESP,Real Sociedad,26,1996,27.4,1765,1712,51,34,0,11,1,0,0,0,0,0,1562,2,9,,Defender,La Liga
Nicola Leali,ITA,Genoa,30,1993,2.0,72,53,19,9,0,0,0,0,0,0,0,0,40,0,0,,Goalkeeper,Serie A
Rafael Leão,POR,Milan,24,1999,27.9,1032,984,42,5,7,8,108,25,10,0,0,0,760,6,27,,Forward,Serie A
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Adrien Lebeau,FRA,Brest,24,1999,0.6,29,26,3,0,0,0,3,0,3,2,1,0,19,0,3,Forward,Midfielder,Ligue 1
Jean-Louis Leca,FRA,Lens,37,1985,1.0,26,20,6,2,0,0,0,0,0,0,0,0,16,0,1,,Goalkeeper,Ligue 1
Benjamin Lecomte,FRA,Montpellier,32,1991,30.0,1006,669,333,112,0,2,0,0,0,0,0,0,670,4,1,,Goalkeeper,Ligue 1
Jeremías Ledesma,ARG,Cádiz,30,1993,33.9,1186,734,447,163,0,1,0,0,0,0,0,0,689,5,5,,Goalkeeper,La Liga
Pierre Lees-Melou,FRA,Brest,30,1993,28.0,1673,1618,54,48,6,32,31,5,1,0,0,0,1425,1,26,,Midfielder,Ligue 1
Diogo Leite,POR,Union Berlin,24,1999,30.0,1581,1471,98,54,1,6,4,14,0,0,0,0,1263,12,15,,Defender,Bundesliga
Maxim Leitsch,GER,Mainz 05,25,1998,4.2,171,169,2,2,0,0,0,0,0,0,0,0,133,0,0,,Defender,Bundesliga
Florian Lejeune,FRA,Rayo Vallecano,32,1991,37.0,2031,1850,167,117,1,35,7,4,1,1,0,0,1636,14,13,,Defender,La Liga
Stefan Lekovic,SRB,Villarreal,19,2004,0.3,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0,,Defender,La Liga
Iñigo Lekue,ESP,Athletic Club,30,1993,22.2,1273,1036,233,23,2,4,37,207,0,0,0,0,1012,4,29,,Defender,La Liga
Thomas Lemar,FRA,Atlético Madrid,27,1995,1.8,84,81,3,0,1,0,6,1,2,2,0,0,71,0,0,,Midfielder,La Liga
Mario Lemina,GAB,Wolves,29,1993,33.0,1470,1432,31,21,8,12,15,9,0,0,0,0,1261,7,9,,Midfielder,Premier League
