Player,Nation,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position_2,Position,League
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Michael Amir Murillo,PAN,Marseille,27,1996,11.1,23,11,13,6,4,15,23,65.2,8,9,2,7,11,34,34,2,,Defender,Ligue 1
Nadiem Amiri,GER,Mainz 05,26,1996,14.6,22,14,8,10,4,13,19,68.4,6,16,2,14,14,36,18,0,,Midfielder,Bundesliga
Nadiem Amiri,GER,Leverkusen,26,1996,1.0,4,2,0,3,1,0,3,0.0,3,0,0,0,0,4,1,0,,Midfielder,Bundesliga
Kofi Amoako,GER,Wolfsburg,18,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Midfielder,Bundesliga
Sofyan Amrabat,MAR,Manchester Utd,26,1996,10.4,27,16,17,8,2,17,31,54.8,14,20,7,13,8,35,19,2,Defender,Midfielder,Premier League
Joachim Andersen,DEN,Crystal Palace,27,1996,37.9,56,35,33,21,2,29,39,74.4,10,33,18,15,41,97,207,1,,Defender,Premier League
Elliot Anderson,SCO,Newcastle Utd,20,2002,11.4,24,18,12,9,3,15,29,51.7,14,23,4,19,8,32,23,0,Forward,Midfielder,Premier League
Felipe Anderson,BRA,Lazio,30,1993,30.8,78,45,32,33,13,34,90,37.8,56,45,3,42,27,105,23,0,Midfielder,Forward,Serie A
Benjamin André,FRA,Lille,32,1990,28.6,89,49,39,45,5,43,81,53.1,38,34,5,29,35,124,60,0,,Midfielder,Ligue 1
Komnen Andrić,SRB,Clermont Foot,28,1995,1.9,2,1,0,1,1,0,4,0.0,4,2,0,2,0,2,1,0,,Forward,Ligue 1
Robert Andrich,GER,Leverkusen,28,1994,18.8,30,18,8,14,8,13,24,54.2,11,15,4,11,20,50,17,0,Defender,Midfielder,Bundesliga
Miguel Ángel Rubio,ESP,Granada,25,1998,17.3,20,12,14,6,0,14,21,66.7,7,31,18,13,28,48,74,2,,Defender,La Liga
Angeliño,ESP,Roma,26,1997,12.7,21,11,12,6,3,11,19,57.9,8,11,5,6,12,33,37,1,,Defender,Serie A
Fabrizio Angileri,ARG,Getafe,29,1994,1.8,1,1,1,0,0,1,3,33.3,2,0,0,0,4,5,8,0,Midfielder,Defender,La Liga
Jaidon Anthony,ENG,Bournemouth,23,1999,1.7,3,1,1,0,2,1,7,14.3,6,3,0,3,1,4,3,0,,Forward,Premier League
Waldemar Anton,GER,Stuttgart,27,1996,32.1,39,25,21,16,2,23,42,54.8,19,33,20,13,40,79,150,1,,Defender,Bundesliga
Michail Antonio,JAM,West Ham,33,1990,18.8,15,8,5,6,4,3,11,27.3,8,16,3,13,4,19,4,0,,Forward,Premier League
Antony,BRA,Manchester Utd,23,2000,14.7,40,21,15,19,6,20,40,50.0,20,29,1,28,12,52,9,0,,Forward,Premier League
Christopher Antwi-Adjei,GHA,Bochum,29,1994,13.5,21,12,10,6,5,12,22,54.5,10,13,2,11,2,23,11,1,Midfielder,Forward,Bundesliga
Houssem Aouar,ALG,Roma,25,1998,8.4,16,11,4,10,2,3,12,25.0,9,5,0,5,4,20,2,1,Forward,Midfielder,Serie A
Stredair Appuah,FRA,Nantes,19,2004,0.9,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,1,0,Midfielder,Forward,Ligue 1
Mauro Arambarri,URU,Getafe,27,1995,3.8,6,2,3,2,1,1,6,16.7,5,1,0,1,2,8,7,0,,Midfielder,La Liga
Jon Aramburu,VEN,Real Sociedad,21,2002,6.0,24,15,12,10,2,15,25,60.0,10,8,3,5,7,31,17,0,,Defender,La Liga
Asaf Arania,ISR,Darmstadt 98,17,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Midfielder,Bundesliga
Julian Araujo,MEX,Las Palmas,21,2001,16.2,41,22,29,7,5,23,33,69.7,10,23,16,7,10,51,52,1,,Defender,La Liga
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Ronald Araújo,URU,Barcelona,24,1999,22.2,27,22,11,15,1,12,17,70.6,5,20,11,9,12,39,66,2,,Defender,La Liga
Oliver Arblaster,ENG,Sheffield Utd,19,2004,10.5,23,14,11,8,4,7,15,46.7,8,17,7,10,15,38,9,0,,Midfielder,Premier League
Cameron Archer,ENG,Sheffield Utd,22,2001,20.4,18,13,6,6,6,8,18,44.4,10,22,3,19,1,19,11,0,Midfielder,Forward,Premier League
Cameron Archer,ENG,Aston Villa,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Midfielder,Premier League
Alphonse Areola,FRA,West Ham,30,1993,30.0,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,16,0,,Goalkeeper,Premier League
Adu Ares,ESP,Athletic Club,21,2001,2.9,8,4,4,2,2,2,3,66.7,1,1,0,1,1,9,0,0,,Forward,La Liga
Jesús Areso,ESP,Osasuna,24,1999,29.6,45,24,25,13,7,31,38,81.6,7,36,15,21,18,63,58,0,,Defender,La Liga
Simone Aresti,ITA,Cagliari,37,1986,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Goalkeeper,Serie A
Matias Arezo,URU,Granada,20,2002,4.1,7,3,2,5,0,1,5,20.0,4,4,1,3,1,8,4,0,,Forward,La Liga
Iñigo Arguibide,ESP,Osasuna,18,2005,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,,Defender,La Liga
Yoël Armougom,FRA,Clermont Foot,25,1998,2.6,3,3,2,0,1,2,3,66.7,1,1,0,1,1,4,3,0,Midfielder,Defender,Ligue 1
José Arnaiz,ESP,Osasuna,28,1995,10.3,14,8,6,4,4,6,21,28.6,15,11,2,9,3,17,2,0,Midfielder,Forward,La Liga
Hákon Arnar Haraldsson,ISL,Lille,20,2003,14.3,12,8,4,7,1,5,21,23.8,16,7,2,5,3,15,5,0,Midfielder,Forward,Ligue 1
Marko Arnautović,AUT,Inter,34,1989,8.9,10,4,3,5,2,4,7,57.1,3,8,1,7,5,15,5,0,,Forward,Serie A
Maximilian Arnold,GER,Wolfsburg,29,1994,27.8,51,31,15,27,9,28,57,49.1,29,23,4,19,24,75,60,0,,Midfielder,Bundesliga
Mohamed El Arouch,FRA,Lyon,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Forward,Ligue 1
Sergio Arribas,ESP,Almería,21,2001,22.7,34,17,16,17,1,14,31,45.2,17,20,1,19,16,50,8,1,Forward,Midfielder,La Liga
Kepa Arrizabalaga,ESP,Real Madrid,28,1994,13.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,,Goalkeeper,La Liga
Arthur,BRA,Leverkusen,20,2003,2.0,4,3,2,0,2,2,2,100.0,0,1,1,0,0,4,7,0,,Defender,Bundesliga
Takuma Asano,JPN,Bochum,28,1994,22.1,17,6,2,9,6,7,23,30.4,16,17,3,14,4,21,11,0,Midfielder,Forward,Bundesliga
Marco Asensio,ESP,Paris S-G,27,1996,12.4,12,10,4,7,1,4,13,30.8,9,7,0,7,5,17,2,0,Forward,Midfielder,Ligue 1
Kristjan Asllani,ALB,Inter,21,2002,8.7,7,2,3,4,0,2,11,18.2,9,9,3,6,11,18,8,0,,Midfielder,Serie A
Joel Asoro,SWE,Metz,24,1999,9.4,13,9,7,6,0,3,10,30.0,7,7,1,6,6,19,9,0,Midfielder,Forward,Ligue 1
Jonathan Asp Jensen,DEN,Bayern Munich,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Forward,Bundesliga
Iago Aspas,ESP,Celta Vigo,35,1987,30.1,11,6,4,6,1,1,15,6.7,14,23,3,20,10,21,8,0,,Forward,La Liga
