Player,Nation,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Position_2,Position,League
Julián Álvarez,ARG,Manchester City,23,2000,29.4,11,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13,2,2,13.0,11.5,0.12,-2.0,-2.5,Forward,Midfielder,Premier League
Yeray Álvarez,ESP,Athletic Club,28,1995,12.8,0,7,2,28.6,0.55,0.16,0.00,0.00,14.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,,Defender,La Liga
Skelly Alvero,FRA,Lyon,21,2002,4.7,1,9,3,33.3,1.90,0.63,0.11,0.33,22.9,0,0,0,0.4,0.4,0.05,+0.6,+0.6,,Midfielder,Ligue 1
Skelly Alvero,FRA,Werder Bremen,21,2002,1.4,1,5,3,60.0,3.66,2.20,0.20,0.33,15.1,0,0,0,0.3,0.3,0.07,+0.7,+0.7,,Midfielder,Bundesliga
Papa Amadou Diallo,SEN,Metz,19,2004,9.9,2,13,5,38.5,1.32,0.51,0.15,0.40,14.7,0,0,0,2.6,2.6,0.20,-0.6,-0.6,,Forward,Ligue 1
Selim Amallah,MAR,Valencia,26,1996,6.7,0,11,4,36.4,1.64,0.60,0.00,0.00,21.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Midfielder,Forward,La Liga
Amath,SEN,Mallorca,27,1996,4.4,0,12,2,16.7,2.74,0.46,0.00,0.00,14.1,0,0,0,1.6,1.6,0.13,-1.6,-1.6,Midfielder,Forward,La Liga
Lorenzo Amatucci,ITA,Fiorentina,19,2004,0.2,0,1,0,0.0,4.09,0.00,0.00,0,29.5,0,0,0,0.0,0.0,0.01,0.0,0.0,,Midfielder,Serie A
Jordan Amavi,FRA,Brest,29,1994,1.0,1,1,1,100.0,0.99,0.99,1.00,1.00,26.9,1,0,0,0.1,0.1,0.10,+0.9,+0.9,,Defender,Ligue 1
Zeki Amdouni,SUI,Burnley,22,2000,21.7,5,48,21,43.8,2.21,0.97,0.08,0.19,17.8,0,1,1,5.8,5.0,0.10,-0.8,-1.0,,Forward,Premier League
